City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
142,Sao Felix Do Xingu,BR,2021-05-25 05:14:47,-6.6447,-51.995,70.32,89,5,1.57
143,Okhotsk,RU,2021-05-25 05:14:47,59.3833,143.3,46.0,57,97,6.71
144,Mananjary,MG,2021-05-25 05:14:48,-21.2167,48.3333,70.34,76,9,3.74
145,Port Elizabeth,ZA,2021-05-25 05:13:00,-33.918,25.5701,57.09,78,100,4.56
146,Mahibadhoo,MV,2021-05-25 05:14:48,3.7833,72.9667,84.34,74,100,21.5
147,Manjeshwar,IN,2021-05-25 05:14:48,12.7194,74.8861,85.15,69,100,7.99
148,Kodiak,US,2021-05-25 05:14:49,57.79,-152.4072,54.91,54,1,4.61
149,Port Alfred,ZA,2021-05-25 05:14:49,-33.5906,26.891,64.72,64,99,7.4
150,Kvitok,RU,2021-05-25 05:14:49,56.0724,98.4813,50.88,90,100,9.75
151,Souillac,MU,2021-05-25 05:14:50,-20.5167,57.5167,78.37,71,48,9.75
152,Muzaffarpur,IN,2021-05-25 05:14:50,26.1167,85.4,82.33,27,98,13.71
153,Alpena,US,2021-05-25 05:14:50,45.0617,-83.4327,67.95,93,1,9.78
154,Korla,CN,2021-05-25 05:14:50,41.7597,86.1469,83.91,13,100,10.92
155,Tasiilaq,GL,2021-05-25 05:14:51,65.6145,-37.6368,33.96,95,100,42.23
156,Jamestown,US,2021-05-25 05:12:53,42.097,-79.2353,65.79,90,90,4.0
157,Venado Tuerto,AR,2021-05-25 05:14:51,-33.7456,-61.9688,48.78,67,0,7.94
158,Obo,CF,2021-05-25 05:14:51,5.3998,26.4869,69.57,91,89,3.98
159,Manzhouli,CN,2021-05-25 05:14:51,49.6,117.4333,55.92,24,70,18.16
160,Grindavik,IS,2021-05-25 05:14:52,63.8424,-22.4338,43.27,73,40,21.65
161,Asau,RO,2021-05-25 05:14:52,46.4333,26.4,57.76,77,31,3.67
162,Bengkulu,ID,2021-05-25 05:14:52,-3.8004,102.2655,84.97,70,50,6.73
163,Ponta Do Sol,PT,2021-05-25 05:14:53,32.6667,-17.1,66.0,81,41,6.38
164,Tual,ID,2021-05-25 05:14:53,-5.6667,132.75,82.54,80,41,20.29
165,Boden,SE,2021-05-25 05:14:53,65.8252,21.6886,41.0,90,76,1.16
166,Sechura,PE,2021-05-25 05:14:53,-5.5569,-80.8222,69.08,81,25,11.45
