City_ID,City,Country,Max Temp,Current Descritpion,Lat,Lng,Hotel Name
392,Buala,SB,77.45,light rain,-8.145,159.5921,Maringe Lagoon Lodge
393,Agadir,MA,73.85,overcast clouds,30.4202,-9.5982,Iberostar Founty Beach
394,Eatonton,US,89.35,few clouds,33.3268,-83.3885,Western Motel of Eatonton
395,Beroroha,MG,70.95,scattered clouds,-21.6667,45.1667,
396,Owando,CG,82.45,overcast clouds,-0.4819,15.8999,Exaunel Hotel Owando
397,Moron,AR,70.02,overcast clouds,-34.6534,-58.6198,Hotel Morón
398,Alexandria,EG,75.74,scattered clouds,31.2156,29.9553,Royal Crown Hotel
399,Waw,SS,82.92,broken clouds,7.7029,27.9953,Universal Gab Hotel
400,Palmas Bellas,PA,88.34,overcast clouds,9.2319,-80.0867,Estación de Chagres
402,Margate,GB,63.32,overcast clouds,51.3813,1.3862,Premier Inn Margate hotel
403,Road Town,VG,86.04,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
404,Trofors,NO,51.67,broken clouds,65.5333,13.4063,Hause for Marcus and Martinus
405,Villa Rica,US,84.58,overcast clouds,33.7321,-84.9191,Days Inn by Wyndham Villa Rica
407,San Quintin,MX,63.5,broken clouds,30.4833,-115.95,Don Eddie's Sport Fishing Center
409,San Miguel De Cauri,PE,56.77,scattered clouds,-10.1,-76.5833,San Miguel de Cauri
410,Balkhash,KZ,72.88,few clouds,46.843999999999994,74.9804,Family
412,Kaeo,NZ,56.32,light rain,-35.1,173.7833,Bushido Lodge
413,Sabang,ID,81.86,overcast clouds,5.8933,95.3214,Hotel Citra
414,Axim,GH,84.43,overcast clouds,4.8699,-2.2405,AXIM BEACH RESORT AND SPA
415,Shache,CN,79.56,few clouds,38.4167,77.2406,Delong Hotel
416,Golpayegan,IR,76.57,broken clouds,33.4537,50.2884,Golpayegan Tourist Hotel
417,Naze,JP,71.37,overcast clouds,28.3667,129.4833,奄美ポートタワーホテル
418,Yashan,CN,78.49,broken clouds,22.1975,109.9419,
419,Tervel,BG,60.75,overcast clouds,43.75,27.4,Хотели Тервел - Хотел Алгара
420,Tadine,NC,69.22,few clouds,-21.55,167.8833,
423,Namwala,ZM,62.82,clear sky,-15.7504,26.4384,Corner Point Lodge
424,Torbay,CA,54.88,scattered clouds,47.6666,-52.7314,Gallows Cove
425,Kembe,CF,77.47,light rain,4.6228,21.8865,
426,Ukiah,US,79.03,clear sky,39.1502,-123.2078,Hampton Inn Ukiah
