City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Descritpion
263,Vyartsilya,RU,62.1764,30.693,50.18,77,66,8.9,broken clouds
264,Indramayu,ID,-6.3264,108.32,81.9,77,45,7.81,scattered clouds
265,Kenai,US,60.5544,-151.2583,48.02,93,90,8.05,light rain
266,Evensk,RU,61.95,159.2333,36.72,98,100,10.71,overcast clouds
267,Carballo,ES,43.213,-8.691,78.58,84,15,6.2,few clouds
268,Rio Gallegos,AR,-51.6226,-69.2181,37.45,60,40,25.32,scattered clouds
269,Bud,US,39.447,-86.1758,70.9,94,100,14.92,overcast clouds
270,Umm Kaddadah,SD,13.6017,26.6876,97.57,8,29,13.18,scattered clouds
271,La Macarena,CO,2.1837,-73.7849,86.67,56,55,3.62,broken clouds
272,Izazi,TZ,-7.2,35.7333,74.16,57,61,6.13,broken clouds
273,Vestmannaeyjar,IS,63.4427,-20.2734,49.19,87,90,46.04,light rain
274,Camacha,PT,33.0833,-16.3333,71.53,64,20,10.36,few clouds
275,Upernavik,GL,72.7868,-56.1549,36.12,86,6,3.83,clear sky
276,Ancud,CL,-41.8697,-73.8203,51.42,61,91,11.34,overcast clouds
277,Lakatoro,VU,-16.0999,167.4164,71.91,64,78,5.28,broken clouds
278,Pisco,PE,-13.7,-76.2167,66.02,94,90,5.75,overcast clouds
279,Bathsheba,BB,13.2167,-59.5167,86.61,51,20,15.77,few clouds
280,Ugoofaaru,MV,5.6667,73.0,84.06,74,55,21.41,broken clouds
281,Oktyabrskiy,RU,54.4815,53.471,63.86,68,6,4.83,clear sky
282,Dali,CN,25.7,100.1833,64.38,78,18,5.44,few clouds
283,Kuching,MY,1.55,110.3333,75.42,100,40,1.14,scattered clouds
284,Bail Hongal,IN,15.8167,74.8667,75.65,77,40,13.22,scattered clouds
285,Pangkalanbuun,ID,-2.6833,111.6167,75.04,98,57,1.19,broken clouds
286,Ostrovnoy,RU,68.0531,39.5131,37.18,71,85,18.39,overcast clouds
287,Iquique,CL,-20.2208,-70.1431,69.84,77,40,5.39,scattered clouds
288,Helong,CN,42.5397,128.9972,45.01,93,78,1.79,broken clouds
289,Nangwa,TZ,-4.4667,35.45,61.11,74,94,5.86,overcast clouds
290,Gallup,US,35.5281,-108.7426,73.02,13,1,3.0,clear sky
291,Muisne,EC,0.6,-80.0333,82.51,80,84,12.62,broken clouds
